tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
565,intra,HOT,HOTA,HOTA2,HOT_T2,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,3
566,intra,HOT,HOTA,HOTA2,HOT_T2,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,0
567,intra,HOT,HOTA,HOTA3,HOT_T2,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
568,intra,HOT,HOTA,HOTA3,HOT_T2,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,0
569,intra,HOT,HOTA,HOTA3,HOT_T2,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,10
576,intra,HOT,HOTB,HOTB6,HOT_T4,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
577,intra,HOT,HOTB,HOTB6,HOT_T4,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,0
578,intra,HOT,HOTB,HOTB6,HOT_T4,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,0
579,intra,HOT,HOTB,HOTB7,HOT_T4,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,7
580,intra,HOT,HOTB,HOTB7,HOT_T4,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,0
581,intra,HOT,HOTB,HOTB7,HOT_T4,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,4
582,intra,HOT,HOTC,HOTC8,HOT_T6,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
583,intra,HOT,HOTC,HOTC8,HOT_T6,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,0
584,intra,HOT,HOTC,HOTC8,HOT_T6,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,2
585,intra,HOT,HOTC,HOTC9,HOT_T6,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,0
586,intra,HOT,HOTC,HOTC9,HOT_T6,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,2
587,intra,HOT,HOTC,HOTC9,HOT_T6,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,1
588,intra,HOT,HOTC,HOTC10,HOT_T6,PAL_NaN,PAL,NaN,i2j0,PAL,2,4,NA,0,0,8
589,intra,HOT,HOTC,HOTC10,HOT_T6,PAL_NaN,PAL,NaN,i4j0,PAL,2,8,NA,0,0,1
590,intra,HOT,HOTC,HOTC10,HOT_T6,PAL_NaN,PAL,NaN,i8j0,PAL,2,16,NA,0,0,3
591,intra,HOT,HOTA,HOTA1,HOT_T1,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,31
592,intra,HOT,HOTA,HOTA1,HOT_T1,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,79
593,intra,HOT,HOTA,HOTA1,HOT_T1,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,65
594,intra,HOT,HOTA,HOTA2,HOT_T1,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,32
