treatment,species,distribution,gender,age,round,position,order,rep,kd.t,rc.t
5C,PAN,lowland,M,10,B,7,1,MB1,4,23
5C,PAN,lowland,M,10,B,7,2,MB2,5,19
5C,PAN,lowland,M,10,B,7,3,MB3,5,23
5C,PAN,lowland,M,10,B,7,4,MB4,10,20
5C,PAN,lowland,M,10,B,7,5,MB5,10,21
5C,PAN,lowland,M,10,B,7,6,MB6,7,19
5C,PAN,lowland,M,10,B,7,7,MB7,10,17
5C,SIM,lowland,M,9,B,8,1,MB1,10,10
5C,SIM,lowland,M,9,B,8,2,MB2,7,3
5C,SIM,lowland,M,9,B,8,3,MB3,14,3
5C,SIM,lowland,M,9,B,8,4,MB4,10,26
5C,SIM,lowland,M,9,B,8,5,MB5,14,13
5C,SIM,lowland,M,9,B,8,6,MB6,9,11
5C,SIM,lowland,M,9,B,8,7,MB7,9,12
5C,BIP,lowland,M,9,B,9,1,MB1,5,15
5C,BIP,lowland,M,9,B,9,2,MB2,5,15
5C,BIP,lowland,M,9,B,9,3,MB3,5,19
5C,BIP,lowland,M,9,B,9,4,MB4,9,10
5C,BIP,lowland,M,9,B,9,5,MB5,6,11
5C,BIP,lowland,M,9,B,9,6,MB6,5,14
5C,BIP,lowland,M,9,B,9,7,MB7,5,11
5C,BIP,lowland,M,9,C,1,1,MC1,4,13
5C,BIP,lowland,M,9,C,1,2,MC2,5,16
5C,BIP,lowland,M,9,C,1,3,MC3,5,14
5C,BIP,lowland,M,9,C,1,4,MC4,6,14
5C,BIP,lowland,M,9,C,1,5,MC5,5,14
5C,BIP,lowland,M,9,C,1,6,MC6,4,13
5C,BIP,lowland,M,9,C,1,7,MC7,4,18
5C,PAL,highland,M,9,C,2,1,MC1,4,45
5C,PAL,highland,M,9,C,2,2,MC2,5,32
5C,PAL,highland,M,9,C,2,3,MC3,4,41
5C,PAL,highland,M,9,C,2,4,MC4,4,37
5C,PAL,highland,M,9,C,2,5,MC5,4,38
5C,PAL,highland,M,9,C,2,6,MC6,5,26
5C,PAL,highland,M,9,C,2,7,MC7,5,24
5C,SUL,widespread,M,9,C,3,1,MC1,5,15
5C,SUL,widespread,M,9,C,3,2,MC2,5,13
5C,SUL,widespread,M,9,C,3,3,MC3,5,12
5C,SUL,widespread,M,9,C,3,4,MC4,4,14
5C,SUL,widespread,M,9,C,3,5,MC5,5,24
5C,SUL,widespread,M,9,C,3,6,MC6,4,22
5C,SUL,widespread,M,9,C,3,7,MC7,4,15
5C,MEL,control,M,9,C,4,1,MC1,11,8
5C,MEL,control,M,9,C,4,2,MC2,9,7
5C,MEL,control,M,9,C,4,3,MC3,9,4
5C,MEL,control,M,9,C,4,4,MC4,13,7
5C,MEL,control,M,9,C,4,5,MC5,10,5
5C,MEL,control,M,9,C,4,6,MC6,12,8
5C,MEL,control,M,9,C,4,7,MC7,13,8
5C,PSA,widespread,M,9,C,5,1,MC1,7,30
5C,PSA,widespread,M,9,C,5,2,MC2,6,17
5C,PSA,widespread,M,9,C,5,3,MC3,5,19
5C,PSA,widespread,M,9,C,5,4,MC4,5,19
5C,PSA,widespread,M,9,C,5,5,MC5,5,18
5C,PSA,widespread,M,9,C,5,6,MC6,7,22
5C,PSA,widespread,M,9,C,5,7,MC7,5,16
5C,SIM,lowland,M,9,C,6,1,MC1,13,12
5C,SIM,lowland,M,9,C,6,2,MC2,9,11
5C,SIM,lowland,M,9,C,6,3,MC3,11,12
5C,SIM,lowland,M,9,C,6,4,MC4,13,12
5C,SIM,lowland,M,9,C,6,5,MC5,13,5
5C,SIM,lowland,M,9,C,6,6,MC6,11,20
5C,SIM,lowland,M,9,C,6,7,MC7,11,13
5C,bir,widespread,M,9,C,7,1,MC1,5,19
5C,bir,widespread,M,9,C,7,2,MC2,5,16
5C,bir,widespread,M,9,C,7,3,MC3,5,16
5C,bir,widespread,M,9,C,7,4,MC4,5,30
5C,bir,widespread,M,9,C,7,5,MC5,6,17
5C,bir,widespread,M,9,C,7,6,MC6,5,26
5C,bir,widespread,M,9,C,7,7,MC7,5,18
5C,BUN,lowland,M,9,C,8,1,MC1,5,19
5C,BUN,lowland,M,9,C,8,2,MC2,5,30
5C,BUN,lowland,M,9,C,8,3,MC3,5,19
5C,BUN,lowland,M,9,C,8,4,MC4,5,30
5C,BUN,lowland,M,9,C,8,5,MC5,4,16
5C,BUN,lowland,M,9,C,8,6,MC6,5,30
5C,BUN,lowland,M,9,C,8,7,MC7,5,16
5C,PAN,lowland,M,10,C,9,1,MC1,5,16
5C,PAN,lowland,M,10,C,9,2,MC2,5,32
